Capability ID,Capability,v4.2 Status,v5 Status,v5 Category,Verification
STD-006,Standards Acceptance Test,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-007,Fail-Closed Missing-Bootstrap State,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-008,Pre-Write Standards Authorization,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-009,Pre-Tool Policy Enforcement Point,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-010,Critical Rules Cannot Be Prompt-Only,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-011,Rule-to-Enforcement Traceability,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-012,Applicable Instruction-Set Hashing,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-013,Context Freshness Invalidation,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-014,Dynamic Path-Risk-Phase Re-Routing,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-015,Provider-Native Instruction Adapters,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-016,Cross-Provider Instruction Equivalence,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-017,Instruction Hierarchy Conflict Tests,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-018,Untrusted-Content Instruction Boundary,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-019,Subagent Standards Inheritance,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-020,Standards Compliance Event Trail,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-021,PR-Gate Compliance Receipt Validation,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-022,Instruction Drift and Conflict Detection,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-023,Standards Self-Modification Firewall,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-024,Standards Adherence Canary Benchmark,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-011,First-class IMPLEMENT NO_CHANGE INSUFFICIENT_EVIDENCE OWNER_DECISION outcomes,N/A — new research integration,NEW,Discovery and Autonomy,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
THIN-011,Quantified semantic thinness bands,N/A — new research integration,NEW,Thin Work,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
THIN-012,Pull-request logical LOC and authored-file warning bands,N/A — new research integration,NEW,Thin Work,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
CONT-017,Zero automatic-compaction operating target,N/A — new research integration,NEW,Continuity,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
CONT-018,Context Budget Governor and planned fresh-session rotation,N/A — new research integration,NEW,Continuity,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
CONT-019,Bounded tool-output bytes with continuation handles,N/A — new research integration,NEW,Continuity,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
CONT-020,Concise directory domain symbol and source-plane map,N/A — new research integration,NEW,Continuity,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
EXT-001,Catalog separated from active and resident extension profile,N/A — new research integration,NEW,Extensions and Capability Supply,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
EXT-002,AVAILABLE STAGED ENABLED RESIDENT INVOKED VERIFIED DEGRADED lifecycle,N/A — new research integration,NEW,Extensions and Capability Supply,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
EXT-003,Metadata-only discovery and JIT skill-body loading,N/A — new research integration,NEW,Extensions and Capability Supply,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
EXT-004,Task extension footprint and MCP activation budgets,N/A — new research integration,NEW,Extensions and Capability Supply,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
EXT-005,Phase-specific extension profiles,N/A — new research integration,NEW,Extensions and Capability Supply,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
EXT-006,Formal standard-to-agent-extensions sibling contract,N/A — new research integration,NEW,Extensions and Capability Supply,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
EXT-007,Exact extension locks source license and provenance,N/A — new research integration,NEW,Extensions and Capability Supply,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
EXT-008,Provider capability manifest and conformance status,N/A — new research integration,NEW,Extensions and Capability Supply,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
EXT-009,Real-provider canaries and automatic DEGRADED adapters,N/A — new research integration,NEW,Extensions and Capability Supply,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
EXT-010,Generated provider and harness configuration,N/A — new research integration,NEW,Extensions and Capability Supply,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
IMP-001,Clean Implementation Charter,N/A — new research integration,NEW,Implementation Quality,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
IMP-002,Stack-native lint analysis and architecture gates,N/A — new research integration,NEW,Implementation Quality,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
IMP-003,Library versus local implementation decision contract,N/A — new research integration,NEW,Implementation Quality,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
IMP-004,Explicit source generated artifact cache evidence protected planes,N/A — new research integration,NEW,Implementation Quality,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
IMP-005,Post-GREEN code simplifier pilot,N/A — new research integration,NEW,Implementation Quality,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
STD-025,Monotonic deny-only policy guard,N/A — new research integration,NEW,Standards Adherence and Meta-Context,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
STD-026,Trusted base-policy self-modification enforcement,N/A — new research integration,NEW,Standards Adherence and Meta-Context,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
STD-027,Immutable tool execution identity with frozen arguments and results,N/A — new research integration,NEW,Standards Adherence and Meta-Context,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
AGENT-010,No default multi-agent councils,N/A — new research integration,NEW,Agents and Parallelism,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
AGENT-011,Explicit SAFE-only tool concurrency,N/A — new research integration,NEW,Agents and Parallelism,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
TEST-019,Model-visible input and policy record-replay,N/A — new research integration,NEW,Testing,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
TOOL-011,Controlled Superpowers and skill-load budget,N/A — new research integration,NEW,Templates and Tooling,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
FAIL-011,Systematic debugging owns unexpected failure,N/A — new research integration,NEW,Failure and Recovery,"Registered with normative home, enforcement, schema, canary, metric, evidence, and eject path."
